repository	commit	blob	path	kind	status	review_method	finding_ids	notes
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	2e13648467f4b7fd06a9d300de8fc279448c9ec6	.gitpod.yml	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	c2098a2d0c4b96621c02cb4e33bc58231ccffc1d	.vscode/c_cpp_properties.json	config	excluded	Excluded per user instruction to ignore non-code editor/tool/result metadata		Editor metadata, tool lock metadata, analytics project metadata, or generated test-run state; not executable product code.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	fa11ef72763f157e960b8a77df9674f61fb42057	.vscode/launch.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	bb879da5a0774e5e3a4e5e90dba7a0770370c0f7	.vscode/settings.json	config	excluded	Excluded per user instruction to ignore non-code editor/tool/result metadata		Editor metadata, tool lock metadata, analytics project metadata, or generated test-run state; not executable product code.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	47a767817eb1dddfe6c3f1058b0ae75710772828	.vscode/tasks.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7f684439c1dd21d0d63d6b90d35ae567f03139ca	codealike.json	config	excluded	Excluded per user instruction to ignore non-code editor/tool/result metadata		Editor metadata, tool lock metadata, analytics project metadata, or generated test-run state; not executable product code.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	edcaef267e34d591c9ae0f0b4cd14a146e6c012f	components.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	028375ae0f35c67526610aba459e1c63cf848eaf	docker-compose.yml	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	15f53a3b1bebdbc2a522e4d4ab6bfa1c256c0658	e2e/debug-blank.spec.ts	test	needs-followup	Full static review of assertion-free Playwright debug specifications and default-suite inclusion	TEST-012	Default Playwright discovery runs these debug probes, which contain no assertions and pass on broken target states.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	e964f1eb4d01ee3612ce4c2597606e3bbda33743	e2e/debug-home.spec.ts	test	needs-followup	Full static review of assertion-free Playwright debug specifications and default-suite inclusion	TEST-012	Default Playwright discovery runs these debug probes, which contain no assertions and pass on broken target states.
